,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
0,0.5563298490127758,0.21018743515014648,0.03194761276245117,0.10742831230163574,0.06482672691345215,0.004987001419067383,ECGFiveDays,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
1,1.0,1.7378993034362793,0.03291130065917969,1.0277478694915771,0.6742210388183594,0.003019094467163086,ECGFiveDays,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
2,1.0,0.5444741249084473,0.03288865089416504,0.1136319637298584,0.39493823051452637,0.0019867420196533203,ECGFiveDays,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,ACF&PACF
3,1.0,3.3993446826934814,0.03345489501953125,1.0500905513763428,2.3118133544921875,0.003002643585205078,ECGFiveDays,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,ACF&PACF
4,0.70267131242741,0.6609761714935303,0.030919313430786133,0.10443830490112305,0.012964725494384766,0.5126538276672363,ECGFiveDays,Max PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,Max PACF
5,1.0,1.2018299102783203,0.038873910903930664,1.0263376235961914,0.13364911079406738,0.0029692649841308594,ECGFiveDays,Max PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,Max PACF
6,1.0,0.25101184844970703,0.031914710998535156,0.10041332244873047,0.11671710014343262,0.001966714859008789,ECGFiveDays,Max PACF: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,Max PACF
7,1.0,1.3857831954956055,0.030907869338989258,0.9499468803405762,0.4009268283843994,0.0029926300048828125,ECGFiveDays,Max PACF: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,Max PACF
8,0.9140534262485482,0.7041456699371338,0.03789663314819336,0.000997304916381836,0.013962030410766602,0.651289701461792,ECGFiveDays,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
9,0.9976771196283392,0.12865877151489258,0.03786325454711914,0.005010128021240234,0.08275389671325684,0.001994609832763672,ECGFiveDays,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
10,0.875725900116144,0.04989051818847656,0.03294229507446289,0.0010006427764892578,0.01392984390258789,0.0010213851928710938,ECGFiveDays,None: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,None
11,1.0,0.29920196533203125,0.03095245361328125,0.00697016716003418,0.2562899589538574,0.003989219665527344,ECGFiveDays,None: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,None
12,0.9941927990708479,1.288545846939087,0.028922557830810547,0.04587697982788086,1.2097630500793457,0.002992391586303711,ECGFiveDays,all: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,all
13,1.0,11.648833274841309,0.03091716766357422,0.4538097381591797,11.149133920669556,0.011968374252319336,ECGFiveDays,all: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,all
14,1.0,3.648037910461426,0.029918432235717773,0.07081031799316406,3.53653883934021,0.004784584045410156,ECGFiveDays,all: n_random_points=30 nb_inst_per_class=1,30,1,Rsast,all
15,1.0,33.79070687294006,0.029909133911132812,0.7150619029998779,33.00667691230774,0.031038522720336914,ECGFiveDays,all: n_random_points=30 nb_inst_per_class=10,30,10,Rsast,all
